timestamp,symbol,price
1641013200000,DOGE,0.1702
1641074400000,DOGE,0.1722
1641078000000,DOGE,0.1727
1641106800000,DOGE,0.1719
1641110400000,DOGE,0.1719
1641121200000,DOGE,0.1725
1641171600000,DOGE,0.1731
1641232800000,DOGE,0.1703
1641265200000,DOGE,0.1693
1641286800000,DOGE,0.1712
1641333600000,DOGE,0.169
1641362400000,DOGE,0.1698
1641412800000,DOGE,0.1599
1641427200000,DOGE,0.1591
1641513600000,DOGE,0.16
1641589200000,DOGE,0.1543
1641607200000,DOGE,0.1562
1641614400000,DOGE,0.1564
1641729600000,DOGE,0.1513
1641769200000,DOGE,0.1513
1641772800000,DOGE,0.1505
1641790800000,DOGE,0.1517
1641895200000,DOGE,0.1441
1641970800000,DOGE,0.1533
1641999600000,DOGE,0.1593
1642042800000,DOGE,0.1667
1642089600000,DOGE,0.1655
1642093200000,DOGE,0.1657
1642107600000,DOGE,0.1662
1642176000000,DOGE,0.1941
1642219200000,DOGE,0.1907
1642294800000,DOGE,0.1834
1642302000000,DOGE,0.1796
1642359600000,DOGE,0.1774
1642366800000,DOGE,0.1763
1642471200000,DOGE,0.171
1642496400000,DOGE,0.1675
1642507200000,DOGE,0.165
1642575600000,DOGE,0.1666
1642611600000,DOGE,0.1636
1642629600000,DOGE,0.1618
1642680000000,DOGE,0.1647
1642705200000,DOGE,0.1646
1642723200000,DOGE,0.1553
1642734000000,DOGE,0.1528
1642752000000,DOGE,0.1532
1642759200000,DOGE,0.1533
1642770000000,DOGE,0.1501
1642791600000,DOGE,0.1517
1642827600000,DOGE,0.1433
1642849200000,DOGE,0.129
1642863600000,DOGE,0.1294
1642892400000,DOGE,0.1308
1642896000000,DOGE,0.1333
1642921200000,DOGE,0.1383
1642924800000,DOGE,0.1397
1642932000000,DOGE,0.1417
1642935600000,DOGE,0.1413
1642942800000,DOGE,0.1387
1642950000000,DOGE,0.137
1642960800000,DOGE,0.1393
1642968000000,DOGE,0.1357
1642978800000,DOGE,0.1385
1642993200000,DOGE,0.1382
1643025600000,DOGE,0.1293
1643097600000,DOGE,0.1342
1643104800000,DOGE,0.1362
1643108400000,DOGE,0.136
1643122800000,DOGE,0.1388
1643148000000,DOGE,0.1416
1643158800000,DOGE,0.1418
1643209200000,DOGE,0.1502
1643216400000,DOGE,0.1505
1643284800000,DOGE,0.1427
1643342400000,DOGE,0.1411
1643346000000,DOGE,0.1409
1643374800000,DOGE,0.1386
1643400000000,DOGE,0.1402
1643418000000,DOGE,0.1423
1643421600000,DOGE,0.1419
1643425200000,DOGE,0.1417
1643446800000,DOGE,0.1425
1643482800000,DOGE,0.1426
1643493600000,DOGE,0.1431
1643508000000,DOGE,0.1422
1643536800000,DOGE,0.1424
1643547600000,DOGE,0.142
1643601600000,DOGE,0.1379
1643641200000,DOGE,0.1394
1643655600000,DOGE,0.1415
